PLAYER NAME,TEAM,STRD RK,PPR .5 RK,PPR Full Point RK,Super Flex Full PPR RK,STRD TIERS,Rookie,AGE,Cuff,Oline Pass Blk,Oline Run Blk,OLine Total,STRD POS RK,POS,BYE,Team Depth Chart,1st 5 games SoS by position,Full SoS by position,Playoff SoS by position,Boom Factor,QB WR/TE Boom,Prop Bet TDS,Prop Bet Pass Yds,Prop Bet Rush Yds,Prop Bet Rec Yds
Christian McCaffrey,SF,1,1,1,6,1,,28,Elijah Mitchell,OK,GREAT,OK,RB1,RB,9,-,average,hard,easy, ,,10.5,,1150.5,
CeeDee Lamb,DAL,2,2,2,9,1,,25,,GOOD,GREAT,GOOD,WR1,WR,7,WR1,hard,average,easy, ,,9.5,,,1350.5
Tyreek Hill,MIA,3,3,3,10,1,,30,,OK,GOOD,OK,WR2,WR,6,WR1,average,hard,easy, ,,9.5,,,1375.5
Ja'Marr Chase,CIN,4,4,4,12,1,,24,,GOOD,GOOD,GREAT,WR3,WR,12,WR1,average,hard,easy, ,,8.5,,,1250.5
Breece Hall,NYJ,6,5,6,14,2,,23,Braelon Allen,OK,ELITE,GREAT,RB2,RB,12,-,average,hard,average, ,,7.5,,1050.5,
Bijan Robinson,ATL,7,6,8,15,2,,22,Tyler Allgeier,OK,ELITE,ELITE,RB3,RB,12,-,average,easy,easy, ,,6.5,,1000.5,
Amon-Ra St. Brown,DET,8,7,5,16,2,,24,,ELITE,ELITE,ELITE,WR5,WR,5,WR1,hard,easy,average, ,,8.5,,,1250.5
Justin Jefferson,MIN,5,8,7,18,2,,25,,GREAT,ELITE,GREAT,WR4,WR,6,WR1,easy,average,easy,BOOM,BOOM,7.5,,,1275.5
A.J. Brown,PHI,9,9,9,19,2,,27,,ELITE,ELITE,ELITE,WR6,WR,5,WR1,easy,hard,easy,BOOM,BOOM,8.5,,,1250.5
Garrett Wilson,NYJ,10,10,10,22,2,,24,,OK,ELITE,GREAT,WR7,WR (3rd Yr),12,WR1,hard,easy,average, ,,7.5,,,1125.5
Jonathan Taylor,IND,11,11,12,23,2,,25,Trey Sermon,GREAT,GREAT,GREAT,RB4,RB,14,-,hard,hard,easy, ,,8.5,,1000.5,
Josh Allen,BUF,18,24,19,1,3,,28,,OK,GOOD,GOOD,QB1,QB,12,-,average,hard,average, ,,27.5,3600.5,480.5,
Jahmyr Gibbs,DET,15,12,11,24,3,,22,David Montgomery,ELITE,ELITE,ELITE,RB7,RB,5,-,easy,average,average,BOOM,,7.5,,900.5,
Puka Nacua,LAR,12,13,13,25,3,,23,,GOOD,GOOD,GREAT,WR8,WR,6,WR1,easy,average,easy, ,,6.5,,,1150.5
Saquon Barkley,PHI,14,14,14,27,3,,27,Will Shipley,ELITE,ELITE,ELITE,RB6,RB,5,-,hard,easy,easy, ,,6.5,,1000.5,
Marvin Harrison Jr.,ARI,20,15,15,30,3,rookie,22,,OK,OK,BAD,WR11,WR,11,WR1,easy,average,easy, ,,-,,,-
Derrick Henry,BAL,13,16,39,32,3,,30,Justice Hill,GOOD,OK,OK,RB5,RB,14,-,average,average,easy, ,,10.5,,975.5,
Kyren Williams,LAR,17,18,29,34,3,,23,Blake Corum,GOOD,GOOD,GREAT,RB8,RB,6,-,easy,average,average, ,,8.5,,-,
Mike Evans,TB,19,22,24,38,3,,30,,GOOD,BAD,GOOD,WR10,WR,11,WR1,easy,average,easy, ,,8.5,,,1050.5
Deebo Samuel Sr.,SF,16,25,33,42,3,,28,,OK,GREAT,OK,WR9,WR,9,WR1,average,hard,easy, ,,-,,,-
Jalen Hurts,PHI,25,30,23,2,4,,26,,ELITE,ELITE,ELITE,QB2,QB,5,-,easy,hard,average,BOOM,BOOM,21.5,4350.5,550.5,
Patrick Mahomes II,KC,32,37,32,3,4,,28,,ELITE,GREAT,ELITE,QB4,QB,6,-,easy,average,average,BOOM,,32.5,3250.5,-,
Lamar Jackson,BAL,31,36,31,4,4,,27,,GOOD,OK,OK,QB3,QB,14,-,average,easy,average, ,,22.5,3200.5,675.5,
Drake London,ATL,23,19,17,33,4,,23,,OK,ELITE,ELITE,WR14,WR (3rd Yr),12,WR1,average,easy,easy, ,,6.5,,,1000.5
Davante Adams,LV,29,17,16,35,4,,31,,GREAT,GOOD,GOOD,WR16,WR,10,WR1,average,average,easy, ,,6.5,,,1000.5
Travis Etienne Jr.,JAC,26,20,20,36,4,,25,Tank Bigsby,GREAT,BAD,OK,RB9,RB,12,-,average,hard,easy, ,,-,,-,
Chris Olave,NO,24,21,18,37,4,,24,,BAD,OK,BAD,WR15,WR (3rd Yr),12,WR1,average,average,easy, ,,4.5,,,1025.5
Isiah Pacheco,KC,27,23,34,39,4,,25,Clyde Edwards-Helaire,ELITE,GREAT,ELITE,RB10,RB,6,-,average,average,average, ,,6.5,,900.5,
Nico Collins,HOU,22,27,27,43,4,,25,,GOOD,OK,OK,WR13,WR,14,WR1,hard,average,average, ,,5.5,,,1050.5
Brandon Aiyuk,SF,21,26,26,44,4,,26,,OK,GREAT,OK,WR12,WR,9,WR2,average,hard,easy, ,,-,,,-
Jaylen Waddle,MIA,33,28,22,45,4,,25,,OK,GOOD,OK,WR18,WR,6,WR2,average,hard,easy, ,,5.5,,,1000.5
De'Von Achane,MIA,37,29,35,46,4,,22,,OK,GOOD,OK,RB11,RB,6,-,easy,average,average, ,,7.5,,750.5,
Cooper Kupp,LAR,36,32,25,48,4,,31,,GOOD,GOOD,GREAT,WR20,WR,6,WR2,easy,average,easy, ,,6.5,,,1000.5
Sam LaPorta,DET,28,31,28,49,4,,23,,ELITE,ELITE,ELITE,TE1,TE,5,-,average,average,average, ,,7.5,,,875.5
Travis Kelce,KC,34,33,30,50,4,,34,,ELITE,GREAT,ELITE,TE2,TE,6,-,average,average,easy, ,,6.5,,,950.5
DK Metcalf,SEA,30,34,38,51,4,,26,,BAD,OK,OK,WR17,WR,10,WR1,easy,average,easy, ,,6.5,,,1000.5
DJ Moore,CHI,35,35,36,52,4,,27,,OK,ELITE,GOOD,WR19,WR,7,WR1,easy,easy,easy, ,,6.5,,,950.5
Anthony Richardson,IND,48,50,47,5,5,,22,,GREAT,GREAT,GREAT,QB5,QB,14,-,average,easy,average, ,,17.5,4150.5,550.5,
C.J. Stroud,HOU,52,56,52,7,5,,22,,GOOD,OK,OK,QB6,QB,14,-,hard,hard,easy, ,,26.5,3400.5,-,
Michael Pittman Jr.,IND,51,38,21,53,5,,26,,GREAT,GREAT,GREAT,WR27,WR,14,WR1,average,easy,easy, ,,-,,,-
DeVonta Smith,PHI,39,39,37,54,5,,25,,ELITE,ELITE,ELITE,WR22,WR,5,WR2,easy,hard,easy,BOOM,BOOM,6.5,,,1050.5
Malik Nabers,NYG,42,40,40,57,5,rookie,21,,OK,OK,BAD,WR23,WR,11,WR1,average,average,easy, ,,5.5,,,900.5
Josh Jacobs,GB,41,41,46,58,5,,26,AJ Dillon,ELITE,OK,GREAT,RB13,RB,10,-,hard,hard,average, ,,7.5,,950.5,
Amari Cooper,CLE,38,42,41,59,5,,30,,ELITE,GREAT,ELITE,WR21,WR,10,WR1,average,average,easy, ,,5.5,,,-
Rachaad White,TB,50,43,42,60,5,,25,Bucky Irving,GOOD,BAD,GOOD,RB16,RB,11,-,hard,easy,easy, ,,5.5,,825.5,
James Cook,BUF,44,44,45,61,5,,24,Ray Davis,OK,GOOD,GOOD,RB14,RB,12,-,easy,hard,easy, ,,4.5,,925.5,
Joe Mixon,HOU,45,45,51,64,5,,28,Dameon Pierce,GOOD,OK,OK,RB15,RB,14,-,average,average,average, ,,6.5,,850.5,
Kenneth Walker III,SEA,40,46,55,65,5,,23,Zach Charbonnet,BAD,OK,OK,RB12,RB,10,-,hard,easy,average, ,,-,,-,
Mark Andrews,BAL,47,47,59,66,5,,28,,GOOD,OK,OK,TE3,TE,14,-,easy,average,easy, ,,6.5,,,-
Tee Higgins,CIN,43,49,49,68,5,,25,,GOOD,GOOD,GREAT,WR24,WR,12,WR2,average,hard,easy, ,,5.5,,,900.5
George Pickens,PIT,46,52,54,71,5,,23,,BAD,OK,OK,WR25,WR (3rd Yr),9,WR1,hard,hard,average, ,,4.5,,,950.5
Tank Dell,HOU,49,54,58,73,5,,24,,GOOD,OK,OK,WR26,WR,14,WR2,hard,average,average, ,,4.5,,,850.5
Kyler Murray,ARI,54,60,57,8,6,,27,,OK,OK,BAD,QB7,QB,11,-,average,hard,easy, ,,20.5,4000.5,475.5,
Joe Burrow,CIN,57,65,61,11,6,,27,,GOOD,GOOD,GREAT,QB8,QB,12,-,hard,hard,easy, ,,27.5,4150.5,-,
Dak Prescott,DAL,59,67,63,13,6,,31,,GOOD,GREAT,GOOD,QB9,QB,7,-,hard,hard,easy, ,,28.5,3900.5,-,
Jordan Love,GB,67,76,70,17,6,,25,,ELITE,OK,GREAT,QB10,QB,10,-,easy,easy,easy,BOOM,,27.5,3900.5,-,
Stefon Diggs,HOU,55,48,43,69,6,,30,,GOOD,OK,OK,WR28,WR,14,WR3,hard,average,average, ,,5.5,,,1000.5
Alvin Kamara,NO,60,51,44,70,6,,29,Kendre Miller,BAD,OK,BAD,RB19,RB,12,-,average,easy,easy, ,,4.5,,625.5,
Trey McBride,ARI,63,53,48,72,6,,24,,OK,OK,BAD,TE4,TE,11,-,hard,easy,average, ,,4.5,,,-
Zay Flowers,BAL,56,55,50,74,6,,23,,GOOD,OK,OK,WR29,WR,14,WR1,hard,average,average, ,,5.5,,,1000.5
Terry McLaurin,WAS,61,57,56,75,6,,28,,OK,GOOD,OK,WR30,WR,14,WR1,easy,average,easy, ,,4.5,,,950.5
James Conner,ARI,58,58,65,76,6,,29,Trey Benson,OK,OK,BAD,RB18,RB,11,-,average,hard,average, ,,6.5,,-,
Rashee Rice,KC,62,62,60,77,6,,24,,ELITE,GREAT,ELITE,WR31,WR,6,WR1,average,average,average, ,,-,,,-
Christian Kirk,JAC,64,61,53,78,6,,27,,GREAT,BAD,OK,WR32,WR,12,WR1,hard,easy,average, ,,4.5,,,1000.5
David Montgomery,DET,53,59,72,79,6,,27,,ELITE,ELITE,ELITE,RB17,RB,5,-,easy,average,average,BOOM,,8.5,,775.5,
Rhamondre Stevenson,NE,65,63,66,80,6,,26,Antonio Gibson,BAD,OK,BAD,RB20,RB,14,-,hard,hard,easy, ,,4.5,,-,
Aaron Jones,MIN,69,64,67,81,6,,29,Ty Chandler,GREAT,ELITE,GREAT,RB22,RB,6,-,average,average,easy, ,,5.5,,750.5,
Najee Harris,PIT,66,69,73,86,6,,26,Jaylen Warren,BAD,OK,OK,RB21,RB,9,-,hard,easy,easy, ,,5.5,,825.5,
Calvin Ridley,TEN,68,70,71,89,6,,29,,BAD,BAD,BAD,WR33,WR,5,WR1,hard,easy,average, ,,5.5,,,925.5
Raheem Mostert,MIA,71,73,80,90,6,,32,De'Von Achane,OK,GOOD,OK,RB23,RB,6,-,easy,average,average, ,,7.5,,700.5,
Zamir White,LV,72,75,77,92,6,,24,Alexander Mattison,GREAT,GOOD,GOOD,RB24,RB,10,-,easy,average,easy, ,,5.5,,800.5,
George Kittle,SF,70,78,84,94,6,,30,,OK,GREAT,OK,TE5,TE,9,-,hard,easy,easy, ,,5.5,,,775.5
Jayden Daniels,WAS,78,83,75,20,7,rookie,23,,OK,GOOD,OK,QB11,QB,14,-,easy,average,easy, ,,16.5,4100.5,550.5,
Brock Purdy,SF,79,86,76,21,7,,24,,OK,GREAT,OK,QB12,QB,9,-,average,hard,easy, ,,28.5,3150.5,-,
Caleb Williams,CHI,87,96,87,26,7,rookie,22,,OK,ELITE,GOOD,QB14,QB,7,-,easy,easy,average, ,,22.5,3800.5,-,
Tua Tagovailoa,MIA,86,100,88,28,7,,26,,OK,GOOD,OK,QB13,QB,6,-,hard,hard,easy, ,,25.5,4050.5,-,
Jared Goff,DET,90,104,90,29,7,,29,,ELITE,ELITE,ELITE,QB15,QB,5,-,hard,easy,average, ,,26.5,3500.5,-,
Trevor Lawrence,JAC,93,106,95,31,7,,24,,GREAT,BAD,OK,QB16,QB,12,-,average,easy,easy, ,,21.5,-,-,
Dalton Kincaid,BUF,80,66,69,82,7,,24,,OK,GOOD,GOOD,TE7,TE,12,-,average,hard,easy, ,,5.5,,,800.5
Chris Godwin,TB,76,68,62,84,7,,28,,GOOD,BAD,GOOD,WR35,WR,11,WR2,easy,average,easy, ,,4.5,,,900.5
Diontae Johnson,CAR,74,71,68,87,7,,28,,GREAT,GOOD,GOOD,WR34,WR,11,WR1,easy,easy,average,BOOM,BOOM,4.5,,,825.5
Keenan Allen,CHI,81,72,64,88,7,,32,,OK,ELITE,GOOD,WR37,WR,7,WR2,easy,easy,easy, ,,4.5,,,900.5
D'Andre Swift,CHI,73,74,74,91,7,,25,Roschon Johnson,OK,ELITE,GOOD,RB25,RB,7,-,easy,hard,average,BOOM,,5.5,,750.5,
Kyle Pitts,ATL,75,77,81,93,7,,23,,OK,ELITE,ELITE,TE6,TE,12,-,easy,average,average, ,,4.5,,,775.5
Jayden Reed,GB,77,79,79,95,7,,24,,ELITE,OK,GREAT,WR36,WR,10,WR1,hard,easy,average, ,,5.5,,,800.5
Tony Pollard,TEN,82,80,86,96,7,,27,Tyjae Spears,BAD,BAD,BAD,RB26,RB,5,-,average,average,easy, ,,5.5,,775.5,
Brian Robinson Jr.,WAS,83,82,91,97,7,,25,Austin Ekeler,OK,GOOD,OK,RB27,RB,14,-,easy,average,easy,,,-,,-,
Javonte Williams,DEN,88,81,82,98,7,,24,Jaleel McLaughlin,GREAT,GOOD,GOOD,RB28,RB,14,-,easy,easy,average, ,,4,,-,
Xavier Worthy,KC,85,88,92,99,7,rookie,21,,ELITE,GREAT,ELITE,WR39,WR,6,WR3,average,average,average, ,,4.5,,,-
Evan Engram,JAC,94,84,78,100,7,,29,,GREAT,BAD,OK,TE9,TE,12,-,easy,average,easy,BOOM,,4.5,,,750.5
Devin Singletary,NYG,89,85,96,101,7,,26,Tyrone Tracy Jr.,OK,OK,BAD,RB29,RB,11,-,easy,average,easy, ,,4.5,,725.5,
Christian Watson,GB,84,90,104,103,7,,25,,ELITE,OK,GREAT,WR38,WR (3rd Yr),10,WR2,hard,easy,average, ,,5.5,,,775.5
DeAndre Hopkins,TEN,91,89,89,104,7,,32,,BAD,BAD,BAD,WR40,WR,5,WR2,hard,easy,average, ,,-,,,-
Jake Ferguson,DAL,95,92,93,108,7,,25,,GOOD,GREAT,GOOD,TE10,TE,7,-,hard,hard,average, ,,5.5,,,725.5
David Njoku,CLE,92,94,94,110,7,,28,,ELITE,GREAT,ELITE,TE8,TE,10,-,average,average,easy, ,,5.5,,,750.5
Kirk Cousins,ATL,104,118,107,40,8,,35,,OK,ELITE,ELITE,QB17,QB,12,-,easy,average,easy, ,,26.5,3900.5,-,
Justin Herbert,LAC,107,119,108,41,8,,26,,GREAT,OK,GOOD,QB18,QB,5,-,hard,hard,easy, ,,23,3900.5,-,
Matthew Stafford,LAR,110,122,113,47,8,,36,,GOOD,GOOD,GREAT,QB19,QB,6,-,easy,easy,average, ,,23.5,3650.5,-,
Deshaun Watson,CLE,123,136,120,55,8,,28,,ELITE,GREAT,ELITE,QB21,QB,10,-,hard,easy,average, ,,18.5,3650.5,-,
Aaron Rodgers,NYJ,122,135,121,56,8,,40,,OK,ELITE,GREAT,QB20,QB,12,-,hard,hard,average, ,,25.5,3300.5,-,
Jaylen Warren,PIT,99,87,85,102,8,,25,,BAD,OK,OK,RB31,RB,9,-,hard,easy,easy, ,,5,,625.5,
Jaxon Smith-Njigba,SEA,112,91,83,105,8,,22,,BAD,OK,OK,WR46,WR,10,WR2,easy,average,easy, ,,4.5,,,800.5
Tyjae Spears,TEN,108,93,97,107,8,,23,,BAD,BAD,BAD,RB34,RB,5,-,average,average,easy, ,,-,,-,
Rome Odunze,CHI,98,95,99,109,8,rookie,22,,OK,ELITE,GOOD,WR42,WR,7,WR3,easy,easy,easy, ,,4.5,,,650.5
Hollywood Brown,KC,97,98,101,111,8,,27,,ELITE,GREAT,ELITE,WR41,WR,6,WR2,average,average,average, ,,-,,,-
Zack Moss,CIN,96,97,109,112,8,,26,Chase Brown,GOOD,GOOD,GREAT,RB30,RB,12,-,hard,average,easy, ,,5.5,,700.5,
Courtland Sutton,DEN,100,99,98,113,8,,28,,GREAT,GOOD,GOOD,WR43,WR,14,WR1,hard,hard,easy, ,,5.5,,,850.5
Ladd McConkey,LAC,114,102,100,114,8,rookie,22,,GREAT,OK,GOOD,WR47,WR,5,WR1,easy,average,easy,BOOM,BOOM,4.5,,,750.5
Jonathon Brooks,CAR,102,101,115,115,8,rookie,21,Chuba Hubbard,GREAT,GOOD,GOOD,RB33,RB,11,-,hard,easy,easy, ,,-,,-,
Jordan Addison,MIN,106,103,102,116,8,,22,,GREAT,ELITE,GREAT,WR44,WR,6,WR2,easy,average,easy,BOOM,BOOM,-,,,-
