RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP
1,Christian McCaffrey (SF),RB1,455,275,180,1,-
2,Breece Hall (NYJ),RB2,357,226,131,4,+ 2
3,Bijan Robinson (ATL),RB3,345,220,125,5,+ 2
4,CeeDee Lamb (DAL),WR1,288,168,120,3,-1
5,Saquon Barkley (PHI),RB4,283,189,94,9,+ 4
6,Tyreek Hill (MIA),WR2,272,160,112,2,-4
7,Jonathan Taylor (IND),RB5,271,183,88,11,+ 4
8,Jahmyr Gibbs (DET),RB6,251,173,78,13,+ 5
9,Kyren Williams (LAR),RB7,245,170,75,15,+ 6
10,Alvin Kamara (NO),RB8,235,165,70,40,+ 30
11,Travis Etienne Jr. (JAC),RB9,229,162,67,18,+ 7
12,Rachaad White (TB),RB10,227,161,66,34,+ 22
13,Isiah Pacheco (KC),RB11,223,159,64,19,+ 6
14,Derrick Henry (BAL),RB12,219,157,62,17,+ 3
15,Amon-Ra St. Brown (DET),WR3,216,132,84,6,-9
16,Ja'Marr Chase (CIN),WR4,216,132,84,7,-9
17,James Cook (BUF),RB13,215,155,60,29,+ 12
18,De'Von Achane (MIA),RB14,213,154,59,24,+ 6
19,Justin Jefferson (MIN),WR5,206,127,79,8,-11
20,Josh Jacobs (GB),RB15,205,150,55,28,+ 8
21,Joe Mixon (HOU),RB16,199,147,52,38,+ 17
22,Travis Kelce (KC),TE1,178,106,72,21,-1
23,Kenneth Walker III (SEA),RB17,173,134,39,43,+ 20
24,Puka Nacua (LAR),WR6,168,108,60,14,-10
25,A.J. Brown (PHI),WR7,166,107,59,10,-15
26,Aaron Jones (MIN),RB18,161,128,33,56,+ 30
27,Sam LaPorta (DET),TE2,160,97,63,30,+ 3
28,Josh Allen (BUF),QB1,153,83,70,22,-6
29,Jalen Hurts (PHI),QB2,153,83,70,32,+ 3
30,Garrett Wilson (NYJ),WR8,148,98,50,12,-18
31,Rhamondre Stevenson (NE),RB19,145,120,25,65,+ 34
32,Zamir White (LV),RB20,135,115,20,67,+ 35
33,David Montgomery (DET),RB21,133,114,19,60,+ 27
34,James Conner (ARI),RB22,133,114,19,53,+ 19
35,Mark Andrews (BAL),TE3,128,81,47,47,+ 12
36,Najee Harris (PIT),RB23,127,111,16,69,+ 33
37,Trey McBride (ARI),TE4,126,80,46,48,+ 11
38,Chris Olave (NO),WR9,118,83,35,25,-13
39,Javonte Williams (DEN),RB24,117,106,11,83,+ 44
40,D'Andre Swift (CHI),RB25,115,105,10,58,+ 18
41,Raheem Mostert (MIA),RB26,113,104,9,74,+ 33
42,Jaylen Warren (PIT),RB27,113,104,9,85,+ 43
43,Lamar Jackson (BAL),QB3,111,62,49,39,-4
44,Marvin Harrison Jr. (ARI),WR10,110,79,31,16,-28
45,Davante Adams (LV),WR11,110,79,31,20,-25
46,Dalton Kincaid (BUF),TE5,108,71,37,51,+ 5
47,Drake London (ATL),WR12,108,78,30,23,-24
48,Patrick Mahomes II (KC),QB4,107,60,47,26,-22
49,Tony Pollard (TEN),RB28,105,100,5,79,+ 30
50,George Kittle (SF),TE6,96,65,31,55,+ 5
51,Nico Collins (HOU),WR13,96,72,24,27,-24
52,Cooper Kupp (LAR),WR14,96,72,24,36,-16
53,Mike Evans (TB),WR15,96,72,24,33,-20
54,Evan Engram (JAC),TE7,96,65,31,66,+ 12
55,Devin Singletary (NYG),RB29,95,95,0,92,+ 37
56,Brian Robinson Jr. (WAS),RB30,94,94,0,87,+ 31
57,Austin Ekeler (WAS),RB31,94,94,0,86,+ 29
58,Tyjae Spears (TEN),RB32,92,92,0,96,+ 38
59,DeVonta Smith (PHI),WR16,90,69,21,46,-13
60,Kyle Pitts (ATL),TE8,88,61,27,63,+ 3
61,Zack Moss (CIN),RB33,88,88,0,90,+ 29
62,Chase Brown (CIN),RB34,87,87,0,112,+ 50
63,Deebo Samuel Sr. (SF),WR17,84,66,18,31,-32
64,Michael Pittman Jr. (IND),WR18,84,66,18,35,-29
65,Ezekiel Elliott (DAL),RB35,80,80,0,106,+ 41
66,Jaylen Waddle (MIA),WR19,78,63,15,44,-22
67,DK Metcalf (SEA),WR20,78,63,15,42,-25
68,Brandon Aiyuk (SF),WR21,76,62,14,37,-31
69,Stefon Diggs (HOU),WR22,76,62,14,41,-28
70,Jake Ferguson (DAL),TE9,76,55,21,80,+ 10
71,Gus Edwards (LAC),RB36,73,73,0,110,+ 39
72,David Njoku (CLE),TE10,72,53,19,82,+ 10
73,Jerome Ford (CLE),RB37,69,69,0,117,+ 44
74,DJ Moore (CHI),WR23,66,57,9,45,-29
75,Nick Chubb (CLE),RB38,64,64,0,93,+ 18
76,Malik Nabers (NYG),WR24,64,56,8,50,-26
77,Amari Cooper (CLE),WR25,62,55,7,54,-23
78,Jonathon Brooks (CAR),RB39,60,60,0,89,+ 11
79,Zay Flowers (BAL),WR26,60,54,6,62,-17
80,George Pickens (PIT),WR27,54,51,3,57,-23
81,Chris Godwin (TB),WR28,54,51,3,78,-3
82,J.K. Dobbins (LAC),RB40,53,53,0,130,+ 48
83,Anthony Richardson (IND),QB5,53,33,20,52,-31
84,Antonio Gibson (NE),RB41,53,53,0,165,+ 81
85,Tee Higgins (CIN),WR29,52,50,2,61,-24
86,Zach Charbonnet (SEA),RB42,50,50,0,140,+ 54
87,Dak Prescott (DAL),QB6,49,31,18,68,-19
88,Chuba Hubbard (CAR),RB43,49,49,0,138,+ 50
89,Rashee Rice (KC),WR30,48,48,0,72,-17
90,Christian Kirk (JAC),WR31,48,48,0,75,-15
91,Ty Chandler (MIN),RB44,48,48,0,154,+ 63
92,Rico Dowdle (DAL),RB45,46,46,0,146,+ 54
93,Tyler Allgeier (ATL),RB46,46,46,0,152,+ 59
94,Tank Dell (HOU),WR32,46,46,0,64,-30
95,Calvin Ridley (TEN),WR33,46,46,0,77,-18
96,C.J. Stroud (HOU),QB7,45,29,16,49,-47
97,Terry McLaurin (WAS),WR34,42,42,0,73,-24
98,Joe Burrow (CIN),QB8,41,27,14,59,-39
99,Jaleel McLaughlin (DEN),RB47,40,40,0,162,+ 63
100,Kyler Murray (ARI),QB9,39,26,13,71,-29
101,Blake Corum (LAR),RB48,39,39,0,120,+ 19
102,Trey Benson (ARI),RB49,37,37,0,123,+ 21
103,Khalil Herbert (CHI),RB50,36,36,0,200,+ 97
104,Keenan Allen (CHI),WR35,36,36,0,76,-28
105,Younghoe Koo (ATL),K1,36,18,18,133,+ 28
106,Dallas Goedert (PHI),TE11,34,34,0,108,+ 2
107,Brock Bowers (LV),TE12,34,34,0,95,-12
108,Diontae Johnson (CAR),WR36,32,32,0,84,-24
109,Jayden Reed (GB),WR37,27,27,0,81,-28
110,Justin Tucker (BAL),K2,24,12,12,104,-6
111,Dalton Schultz (HOU),TE13,21,21,0,121,+ 10
112,Jordan Love (GB),QB10,21,17,4,70,-42
113,Harrison Butker (KC),K3,20,10,10,113,-
114,Brandon Aubrey (DAL),K4,20,10,10,107,-7
115,Dallas Cowboys (DAL),DST1,20,10,10,124,+ 9
116,Jaxon Smith-Njigba (SEA),WR38,19,19,0,100,-16
117,Brock Purdy (SF),QB11,19,16,3,91,-26
118,Greg Joseph (GB),K5,18,9,9,323,+ 205
119,DeAndre Hopkins (TEN),WR39,18,18,0,98,-21
