RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Tier
1,Christian McCaffrey (SF),RB1,455,275,180,1.0,-,1
2,Breece Hall (NYJ),RB2,357,226,131,4.0,+ 2,2
3,Bijan Robinson (ATL),RB3,345,220,125,5.0,+ 2,2
4,CeeDee Lamb (DAL),WR1,288,168,120,3.0,-1,3
5,Saquon Barkley (PHI),RB4,283,189,94,9.0,+ 4,3
6,Tyreek Hill (MIA),WR2,272,160,112,2.0,-4,3
7,Jonathan Taylor (IND),RB5,271,183,88,11.0,+ 4,3
8,Jahmyr Gibbs (DET),RB6,251,173,78,13.0,+ 5,3
9,Kyren Williams (LAR),RB7,245,170,75,15.0,+ 6,3
10,Alvin Kamara (NO),RB8,235,165,70,40.0,+ 30,3
11,Travis Etienne Jr. (JAC),RB9,229,162,67,18.0,+ 7,3
12,Rachaad White (TB),RB10,227,161,66,34.0,+ 22,3
13,Isiah Pacheco (KC),RB11,223,159,64,19.0,+ 6,3
14,Derrick Henry (BAL),RB12,219,157,62,17.0,+ 3,3
15,Amon-Ra St. Brown (DET),WR3,216,132,84,6.0,-9,3
16,Ja'Marr Chase (CIN),WR4,216,132,84,7.0,-9,3
17,James Cook (BUF),RB13,215,155,60,29.0,+ 12,3
18,De'Von Achane (MIA),RB14,213,154,59,24.0,+ 6,3
19,Justin Jefferson (MIN),WR5,206,127,79,8.0,-11,3
20,Josh Jacobs (GB),RB15,205,150,55,28.0,+ 8,3
21,Joe Mixon (HOU),RB16,199,147,52,38.0,+ 17,3
22,Travis Kelce (KC),TE1,178,106,72,21.0,-1,4
23,Kenneth Walker III (SEA),RB17,173,134,39,43.0,+ 20,4
24,Puka Nacua (LAR),WR6,168,108,60,14.0,-10,4
25,A.J. Brown (PHI),WR7,166,107,59,10.0,-15,4
26,Aaron Jones (MIN),RB18,161,128,33,56.0,+ 30,4
27,Sam LaPorta (DET),TE2,160,97,63,30.0,+ 3,4
28,Josh Allen (BUF),QB1,153,83,70,22.0,-6,4
29,Jalen Hurts (PHI),QB2,153,83,70,32.0,+ 3,4
30,Garrett Wilson (NYJ),WR8,148,98,50,12.0,-18,4
31,Rhamondre Stevenson (NE),RB19,145,120,25,65.0,+ 34,4
32,Zamir White (LV),RB20,135,115,20,67.0,+ 35,4
33,David Montgomery (DET),RB21,133,114,19,60.0,+ 27,4
34,James Conner (ARI),RB22,133,114,19,53.0,+ 19,4
35,Mark Andrews (BAL),TE3,128,81,47,47.0,+ 12,5
36,Najee Harris (PIT),RB23,127,111,16,69.0,+ 33,5
37,Trey McBride (ARI),TE4,126,80,46,48.0,+ 11,5
38,Chris Olave (NO),WR9,118,83,35,25.0,-13,5
39,Javonte Williams (DEN),RB24,117,106,11,83.0,+ 44,5
40,D'Andre Swift (CHI),RB25,115,105,10,58.0,+ 18,5
41,Raheem Mostert (MIA),RB26,113,104,9,74.0,+ 33,5
42,Jaylen Warren (PIT),RB27,113,104,9,85.0,+ 43,5
43,Lamar Jackson (BAL),QB3,111,62,49,39.0,-4,5
44,Marvin Harrison Jr. (ARI),WR10,110,79,31,16.0,-28,5
45,Davante Adams (LV),WR11,110,79,31,20.0,-25,5
46,Dalton Kincaid (BUF),TE5,108,71,37,51.0,+ 5,5
47,Drake London (ATL),WR12,108,78,30,23.0,-24,5
48,Patrick Mahomes II (KC),QB4,107,60,47,26.0,-22,5
49,Tony Pollard (TEN),RB28,105,100,5,79.0,+ 30,5
50,George Kittle (SF),TE6,96,65,31,55.0,+ 5,5
51,Nico Collins (HOU),WR13,96,72,24,27.0,-24,5
52,Cooper Kupp (LAR),WR14,96,72,24,36.0,-16,5
53,Mike Evans (TB),WR15,96,72,24,33.0,-20,5
54,Evan Engram (JAC),TE7,96,65,31,66.0,+ 12,5
55,Devin Singletary (NYG),RB29,95,95,0,92.0,+ 37,5
56,Brian Robinson Jr. (WAS),RB30,94,94,0,87.0,+ 31,5
57,Austin Ekeler (WAS),RB31,94,94,0,86.0,+ 29,5
58,Tyjae Spears (TEN),RB32,92,92,0,96.0,+ 38,5
59,DeVonta Smith (PHI),WR16,90,69,21,46.0,-13,5
60,Kyle Pitts (ATL),TE8,88,61,27,63.0,+ 3,5
61,Zack Moss (CIN),RB33,88,88,0,90.0,+ 29,5
62,Chase Brown (CIN),RB34,87,87,0,112.0,+ 50,5
63,Deebo Samuel Sr. (SF),WR17,84,66,18,31.0,-32,5
64,Michael Pittman Jr. (IND),WR18,84,66,18,35.0,-29,5
65,Ezekiel Elliott (DAL),RB35,80,80,0,106.0,+ 41,6
66,Jaylen Waddle (MIA),WR19,78,63,15,44.0,-22,6
67,DK Metcalf (SEA),WR20,78,63,15,42.0,-25,6
68,Brandon Aiyuk (SF),WR21,76,62,14,37.0,-31,6
69,Stefon Diggs (HOU),WR22,76,62,14,41.0,-28,6
70,Jake Ferguson (DAL),TE9,76,55,21,80.0,+ 10,6
71,Gus Edwards (LAC),RB36,73,73,0,110.0,+ 39,6
72,David Njoku (CLE),TE10,72,53,19,82.0,+ 10,6
73,Jerome Ford (CLE),RB37,69,69,0,117.0,+ 44,6
74,DJ Moore (CHI),WR23,66,57,9,45.0,-29,6
75,Nick Chubb (CLE),RB38,64,64,0,93.0,+ 18,6
76,Malik Nabers (NYG),WR24,64,56,8,50.0,-26,6
77,Amari Cooper (CLE),WR25,62,55,7,54.0,-23,6
78,Jonathon Brooks (CAR),RB39,60,60,0,89.0,+ 11,6
79,Zay Flowers (BAL),WR26,60,54,6,62.0,-17,6
80,George Pickens (PIT),WR27,54,51,3,57.0,-23,6
81,Chris Godwin (TB),WR28,54,51,3,78.0,-3,6
82,J.K. Dobbins (LAC),RB40,53,53,0,130.0,+ 48,6
83,Anthony Richardson (IND),QB5,53,33,20,52.0,-31,6
84,Antonio Gibson (NE),RB41,53,53,0,165.0,+ 81,6
85,Tee Higgins (CIN),WR29,52,50,2,61.0,-24,6
86,Zach Charbonnet (SEA),RB42,50,50,0,140.0,+ 54,6
87,Dak Prescott (DAL),QB6,49,31,18,68.0,-19,6
88,Chuba Hubbard (CAR),RB43,49,49,0,138.0,+ 50,6
89,Rashee Rice (KC),WR30,48,48,0,72.0,-17,6
90,Christian Kirk (JAC),WR31,48,48,0,75.0,-15,6
91,Ty Chandler (MIN),RB44,48,48,0,154.0,+ 63,6
92,Rico Dowdle (DAL),RB45,46,46,0,146.0,+ 54,6
93,Tyler Allgeier (ATL),RB46,46,46,0,152.0,+ 59,6
94,Tank Dell (HOU),WR32,46,46,0,64.0,-30,6
95,Calvin Ridley (TEN),WR33,46,46,0,77.0,-18,6
96,C.J. Stroud (HOU),QB7,45,29,16,49.0,-47,6
97,Terry McLaurin (WAS),WR34,42,42,0,73.0,-24,7
98,Joe Burrow (CIN),QB8,41,27,14,59.0,-39,7
99,Jaleel McLaughlin (DEN),RB47,40,40,0,162.0,+ 63,7
100,Kyler Murray (ARI),QB9,39,26,13,71.0,-29,7
101,Blake Corum (LAR),RB48,39,39,0,120.0,+ 19,7
102,Trey Benson (ARI),RB49,37,37,0,123.0,+ 21,7
103,Khalil Herbert (CHI),RB50,36,36,0,200.0,+ 97,7
104,Keenan Allen (CHI),WR35,36,36,0,76.0,-28,7
105,Younghoe Koo (ATL),K1,36,18,18,133.0,+ 28,7
106,Dallas Goedert (PHI),TE11,34,34,0,108.0,+ 2,7
107,Brock Bowers (LV),TE12,34,34,0,95.0,-12,7
108,Diontae Johnson (CAR),WR36,32,32,0,84.0,-24,7
109,Jayden Reed (GB),WR37,27,27,0,81.0,-28,7
110,Justin Tucker (BAL),K2,24,12,12,104.0,-6,7
111,Dalton Schultz (HOU),TE13,21,21,0,121.0,+ 10,7
112,Jordan Love (GB),QB10,21,17,4,70.0,-42,7
113,Harrison Butker (KC),K3,20,10,10,113.0,-,7
114,Brandon Aubrey (DAL),K4,20,10,10,107.0,-7,7
115,Dallas Cowboys (DAL),DST1,20,10,10,124.0,+ 9,7
116,Jaxon Smith-Njigba (SEA),WR38,19,19,0,100.0,-16,7
117,Brock Purdy (SF),QB11,19,16,3,91.0,-26,7
118,Greg Joseph (GB),K5,18,9,9,323.0,+ 205,7
119,DeAndre Hopkins (TEN),WR39,18,18,0,98.0,-21,7
120,Baltimore Ravens (BAL),DST2,16,8,8,125.0,+ 5,7
121,Jordan Addison (MIN),WR40,16,16,0,109.0,-12,7
122,Courtland Sutton (DEN),WR41,15,15,0,116.0,-6,7
123,Xavier Worthy (KC),WR42,14,14,0,88.0,-35,8
124,Pat Freiermuth (PIT),TE14,14,14,0,132.0,+ 8,8
125,Bucky Irving (TB),RB51,14,14,0,202.0,+ 77,8
126,Jake Elliott (PHI),K6,14,7,7,143.0,+ 17,8
127,Rome Odunze (CHI),WR43,13,13,0,94.0,-33,8
128,Jayden Daniels (WAS),QB12,13,13,0,99.0,-29,8
129,Ladd McConkey (LAC),WR44,12,12,0,101.0,-28,8
130,Ray Davis (BUF),RB52,12,12,0,207.0,+ 77,8
131,New York Jets (NYJ),DST3,12,6,6,126.0,-5,8
132,Brian Thomas Jr. (JAC),WR45,12,12,0,119.0,-13,8
133,Christian Watson (GB),WR46,12,12,0,97.0,-36,8
134,Alexander Mattison (LV),RB53,10,10,0,244.0,+ 110,8
135,T.J. Hockenson (MIN),TE15,10,10,0,122.0,-13,8
136,Jason Myers (SEA),K7,10,5,5,184.0,+ 48,8
137,Jamaal Williams (NO),RB54,9,9,0,263.0,+ 126,8
138,Caleb Williams (CHI),QB13,9,9,0,105.0,-33,8
139,Trevor Lawrence (JAC),QB14,9,9,0,127.0,-12,8
140,MarShawn Lloyd (GB),RB55,8,8,0,174.0,+ 34,8
141,Jerry Jeudy (CLE),WR47,7,7,0,141.0,-,8
142,Houston Texans (HOU),DST4,6,3,3,177.0,+ 35,8
143,Clyde Edwards-Helaire (KC),RB56,6,6,0,209.0,+ 66,8
144,Kansas City Chiefs (KC),DST5,6,3,3,155.0,+ 11,8
145,Ka'imi Fairbairn (HOU),K8,6,3,3,145.0,-,8
146,Philadelphia Eagles (PHI),DST6,6,3,3,172.0,+ 26,8
147,Tyler Lockett (SEA),WR48,6,6,0,136.0,-11,8
148,Pittsburgh Steelers (PIT),DST7,4,2,2,153.0,+ 5,8
149,Tyrone Tracy Jr. (NYG),RB57,4,4,0,211.0,+ 62,8
150,Braelon Allen (NYJ),RB58,4,4,0,201.0,+ 51,8
151,Cameron Dicker (LAC),K9,4,2,2,167.0,+ 16,8
152,Marquise Brown (KC),WR49,3,3,0,103.0,-49,8
153,Joshua Palmer (LAC),WR50,3,3,0,150.0,-3,8
154,Cleveland Browns (CLE),DST8,2,1,1,128.0,-26,8
155,San Francisco 49ers (SF),DST9,2,1,1,111.0,-44,8
156,Tyler Conklin (NYJ),TE16,2,2,0,180.0,+ 24,8
157,Curtis Samuel (BUF),WR51,2,2,0,137.0,-20,8
158,Jakobi Meyers (LV),WR52,2,2,0,144.0,-14,8
159,Justin Herbert (LAC),QB15,2,2,0,131.0,-28,8
160,Blake Grupe (NO),K10,2,1,1,240.0,+ 80,8
161,Greg Zuerlein (NYJ),K11,2,1,1,197.0,+ 36,8
162,Deshaun Watson (CLE),QB16,1,1,0,157.0,-5,8
163,Jameson Williams (DET),WR53,0,0,0,118.0,-45,8
164,Khalil Shakir (BUF),WR54,0,0,0,129.0,-35,8
165,Jared Goff (DET),QB17,0,0,0,114.0,-51,8
166,Cole Kmet (CHI),TE17,0,0,0,135.0,-31,8
167,Tyler Bass (BUF),K12,0,0,0,173.0,+ 6,8
168,Evan McPherson (CIN),K13,0,0,0,149.0,-19,8
169,Adam Thielen (CAR),WR55,0,0,0,156.0,-13,8
170,Miami Dolphins (MIA),DST10,0,0,0,161.0,-9,8
171,Indianapolis Colts (IND),DST11,0,0,0,216.0,+ 45,8
172,Buffalo Bills (BUF),DST12,0,0,0,159.0,-13,8
173,Miles Sanders (CAR),RB59,0,0,0,296.0,+ 123,8
174,Cincinnati Bengals (CIN),DST13,0,0,0,196.0,+ 22,8
175,Hunter Henry (NE),TE18,0,0,0,198.0,+ 23,8
176,Cairo Santos (CHI),K14,0,0,0,206.0,+ 30,8
177,Jake Moody (SF),K15,0,0,0,151.0,-26,8
178,Matt Gay (IND),K16,0,0,0,199.0,+ 21,8
179,Kendre Miller (NO),RB60,0,0,0,190.0,+ 11,8
180,Jason Sanders (MIA),K17,0,0,0,179.0,-1,8
181,Los Angeles Chargers (LAC),DST14,0,0,0,192.0,+ 11,8
182,Brandin Cooks (DAL),WR56,0,0,0,160.0,-22,8
183,Tua Tagovailoa (MIA),QB18,0,0,0,115.0,-68,8
184,Cade Otton (TB),TE19,0,0,0,225.0,+ 41,8
185,Jacksonville Jaguars (JAC),DST15,0,0,0,250.0,+ 65,8
186,Green Bay Packers (GB),DST16,0,0,0,218.0,+ 32,8
187,Mike Williams (NYJ),WR57,0,0,0,147.0,-40,8
188,Washington Commanders (WAS),DST17,0,0,0,235.0,+ 47,8
189,New York Giants (NYG),DST18,0,0,0,249.0,+ 60,8
190,New Orleans Saints (NO),DST19,0,0,0,187.0,-3,8
191,Seattle Seahawks (SEA),DST20,0,0,0,191.0,-,8
192,Tampa Bay Buccaneers (TB),DST21,0,0,0,186.0,-6,8
193,Las Vegas Raiders (LV),DST22,0,0,0,208.0,+ 15,8
194,Chase McLaughlin (TB),K18,0,0,0,295.0,+ 101,8
195,Keon Coleman (BUF),WR58,0,0,0,102.0,-93,8
196,Roschon Johnson (CHI),RB61,0,0,0,243.0,+ 47,8
197,Dustin Hopkins (CLE),K19,0,0,0,267.0,+ 70,8
198,Minnesota Vikings (MIN),DST23,0,0,0,219.0,+ 21,8
199,Denver Broncos (DEN),DST24,0,0,0,222.0,+ 23,8
200,Matt Prater (ARI),K20,0,0,0,368.0,+ 168,8
201,Joshua Karty (LAR),K21,0,0,0,400.0,+ 199,8
202,DeMario Douglas (NE),WR59,0,0,0,189.0,-13,8
203,Cam Little (JAC),K22,0,0,0,287.0,+ 84,8
204,Romeo Doubs (GB),WR60,0,0,0,139.0,-65,8
205,Jake Bates (DET),K23,0,0,0,281.0,+ 76,8
