RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
105,Younghoe Koo (ATL),K1,36,18,18,133.0,+ 28,K,
110,Justin Tucker (BAL),K2,24,12,12,104.0,-6,K,
113,Harrison Butker (KC),K3,20,10,10,113.0,-,K,
114,Brandon Aubrey (DAL),K4,20,10,10,107.0,-7,K,
118,Greg Joseph (GB),K5,18,9,9,323.0,+ 205,K,
126,Jake Elliott (PHI),K6,14,7,7,143.0,+ 17,K,
136,Jason Myers (SEA),K7,10,5,5,184.0,+ 48,K,
145,Ka'imi Fairbairn (HOU),K8,6,3,3,145.0,-,K,
151,Cameron Dicker (LAC),K9,4,2,2,167.0,+ 16,K,
160,Blake Grupe (NO),K10,2,1,1,240.0,+ 80,K,
161,Greg Zuerlein (NYJ),K11,2,1,1,197.0,+ 36,K,
167,Tyler Bass (BUF),K12,0,0,0,173.0,+ 6,K,
168,Evan McPherson (CIN),K13,0,0,0,149.0,-19,K,
176,Cairo Santos (CHI),K14,0,0,0,206.0,+ 30,K,
177,Jake Moody (SF),K15,0,0,0,151.0,-26,K,
178,Matt Gay (IND),K16,0,0,0,199.0,+ 21,K,
180,Jason Sanders (MIA),K17,0,0,0,179.0,-1,K,
194,Chase McLaughlin (TB),K18,0,0,0,295.0,+ 101,K,
197,Dustin Hopkins (CLE),K19,0,0,0,267.0,+ 70,K,
200,Matt Prater (ARI),K20,0,0,0,368.0,+ 168,K,
201,Joshua Karty (LAR),K21,0,0,0,400.0,+ 199,K,
203,Cam Little (JAC),K22,0,0,0,287.0,+ 84,K,
205,Jake Bates (DET),K23,0,0,0,281.0,+ 76,K,
216,Anders Carlson (FA),K24,0,0,0,294.0,+ 78,K,
226,Chris Boswell (PIT),K25,0,0,0,277.0,+ 51,K,
233,Wil Lutz (DEN),K26,0,0,0,286.0,+ 53,K,
234,Nick Folk (TEN),K27,0,0,0,372.0,+ 138,K,
236,Daniel Carlson (LV),K28,0,0,0,205.0,-31,K,
243,Will Reichard (MIN),K29,0,0,0,236.0,-7,K,
244,Eddy Pineiro (CAR),K30,0,0,0,430.0,+ 186,K,
245,Cade York (WAS),K31,0,0,0,336.0,+ 91,K,
246,Graham Gano (NYG),K32,0,0,0,285.0,+ 39,K,
253,Chad Ryland (FA),K33,0,0,0,303.0,+ 50,K,
291,Joey Slye (NE),K34,0,0,0,357.0,+ 66,K,
