RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
28,Josh Allen (BUF),QB1,153,83,70,22.0,-6,QB,5.0
29,Jalen Hurts (PHI),QB2,153,83,70,32.0,+ 3,QB,5.0
43,Lamar Jackson (BAL),QB3,111,62,49,39.0,-4,QB,5.0
48,Patrick Mahomes II (KC),QB4,107,60,47,26.0,-22,QB,5.0
83,Anthony Richardson (IND),QB5,53,33,20,52.0,-31,QB,5.0
87,Dak Prescott (DAL),QB6,49,31,18,68.0,-19,QB,5.0
96,C.J. Stroud (HOU),QB7,45,29,16,49.0,-47,QB,
98,Joe Burrow (CIN),QB8,41,27,14,59.0,-39,QB,
100,Kyler Murray (ARI),QB9,39,26,13,71.0,-29,QB,
112,Jordan Love (GB),QB10,21,17,4,70.0,-42,QB,
117,Brock Purdy (SF),QB11,19,16,3,91.0,-26,QB,
128,Jayden Daniels (WAS),QB12,13,13,0,99.0,-29,QB,
138,Caleb Williams (CHI),QB13,9,9,0,105.0,-33,QB,
139,Trevor Lawrence (JAC),QB14,9,9,0,127.0,-12,QB,
159,Justin Herbert (LAC),QB15,2,2,0,131.0,-28,QB,
162,Deshaun Watson (CLE),QB16,1,1,0,157.0,-5,QB,
165,Jared Goff (DET),QB17,0,0,0,114.0,-51,QB,
183,Tua Tagovailoa (MIA),QB18,0,0,0,115.0,-68,QB,
209,Kirk Cousins (ATL),QB19,0,0,0,142.0,-67,QB,
211,Baker Mayfield (TB),QB20,0,0,0,158.0,-53,QB,
215,Matthew Stafford (LAR),QB21,0,0,0,148.0,-67,QB,
225,Aaron Rodgers (NYJ),QB22,0,0,0,134.0,-91,QB,
238,Geno Smith (SEA),QB23,0,0,0,182.0,-56,QB,
256,Will Levis (TEN),QB24,0,0,0,185.0,-71,QB,
261,Daniel Jones (NYG),QB25,0,0,0,260.0,-1,QB,
263,Derek Carr (NO),QB26,0,0,0,193.0,-70,QB,
264,Sam Darnold (MIN),QB27,0,0,0,220.0,-44,QB,
298,Bo Nix (DEN),QB28,0,0,0,178.0,-120,QB,
305,Bryce Young (CAR),QB29,0,0,0,214.0,-91,QB,
345,Russell Wilson (PIT),QB30,0,0,0,212.0,-133,QB,
400,Drake Maye (NE),QB31,0,0,0,237.0,-163,QB,
437,Gardner Minshew II (LV),QB32,0,0,0,256.0,-181,QB,
659,Justin Fields (PIT),QB33,0,0,0,210.0,-449,QB,
