RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
1,Christian McCaffrey (SF),RB1,455,275,180,1.0,-,RB,1.0
2,Breece Hall (NYJ),RB2,357,226,131,4.0,+ 2,RB,2.0
3,Bijan Robinson (ATL),RB3,345,220,125,5.0,+ 2,RB,2.0
18,De'Von Achane (MIA),RB14,213,154,59,24.0,+ 6,RB,3.0
17,James Cook (BUF),RB13,215,155,60,29.0,+ 12,RB,3.0
14,Derrick Henry (BAL),RB12,219,157,62,17.0,+ 3,RB,3.0
13,Isiah Pacheco (KC),RB11,223,159,64,19.0,+ 6,RB,3.0
11,Travis Etienne Jr. (JAC),RB9,229,162,67,18.0,+ 7,RB,3.0
12,Rachaad White (TB),RB10,227,161,66,34.0,+ 22,RB,3.0
9,Kyren Williams (LAR),RB7,245,170,75,15.0,+ 6,RB,3.0
8,Jahmyr Gibbs (DET),RB6,251,173,78,13.0,+ 5,RB,3.0
7,Jonathan Taylor (IND),RB5,271,183,88,11.0,+ 4,RB,3.0
5,Saquon Barkley (PHI),RB4,283,189,94,9.0,+ 4,RB,3.0
10,Alvin Kamara (NO),RB8,235,165,70,40.0,+ 30,RB,3.0
36,Najee Harris (PIT),RB23,127,111,16,69.0,+ 33,RB,4.0
42,Jaylen Warren (PIT),RB27,113,104,9,85.0,+ 43,RB,4.0
41,Raheem Mostert (MIA),RB26,113,104,9,74.0,+ 33,RB,4.0
40,D'Andre Swift (CHI),RB25,115,105,10,58.0,+ 18,RB,4.0
39,Javonte Williams (DEN),RB24,117,106,11,83.0,+ 44,RB,4.0
34,James Conner (ARI),RB22,133,114,19,53.0,+ 19,RB,4.0
33,David Montgomery (DET),RB21,133,114,19,60.0,+ 27,RB,4.0
32,Zamir White (LV),RB20,135,115,20,67.0,+ 35,RB,4.0
31,Rhamondre Stevenson (NE),RB19,145,120,25,65.0,+ 34,RB,4.0
26,Aaron Jones (MIN),RB18,161,128,33,56.0,+ 30,RB,4.0
23,Kenneth Walker III (SEA),RB17,173,134,39,43.0,+ 20,RB,4.0
21,Joe Mixon (HOU),RB16,199,147,52,38.0,+ 17,RB,4.0
20,Josh Jacobs (GB),RB15,205,150,55,28.0,+ 8,RB,4.0
92,Rico Dowdle (DAL),RB45,46,46,0,146.0,+ 54,RB,5.0
93,Tyler Allgeier (ATL),RB46,46,46,0,152.0,+ 59,RB,5.0
99,Jaleel McLaughlin (DEN),RB47,40,40,0,162.0,+ 63,RB,5.0
101,Blake Corum (LAR),RB48,39,39,0,120.0,+ 19,RB,5.0
102,Trey Benson (ARI),RB49,37,37,0,123.0,+ 21,RB,5.0
103,Khalil Herbert (CHI),RB50,36,36,0,200.0,+ 97,RB,5.0
134,Alexander Mattison (LV),RB53,10,10,0,244.0,+ 110,RB,5.0
130,Ray Davis (BUF),RB52,12,12,0,207.0,+ 77,RB,5.0
91,Ty Chandler (MIN),RB44,48,48,0,154.0,+ 63,RB,5.0
137,Jamaal Williams (NO),RB54,9,9,0,263.0,+ 126,RB,5.0
140,MarShawn Lloyd (GB),RB55,8,8,0,174.0,+ 34,RB,5.0
143,Clyde Edwards-Helaire (KC),RB56,6,6,0,209.0,+ 66,RB,5.0
125,Bucky Irving (TB),RB51,14,14,0,202.0,+ 77,RB,5.0
88,Chuba Hubbard (CAR),RB43,49,49,0,138.0,+ 50,RB,5.0
55,Devin Singletary (NYG),RB29,95,95,0,92.0,+ 37,RB,5.0
84,Antonio Gibson (NE),RB41,53,53,0,165.0,+ 81,RB,5.0
82,J.K. Dobbins (LAC),RB40,53,53,0,130.0,+ 48,RB,5.0
78,Jonathon Brooks (CAR),RB39,60,60,0,89.0,+ 11,RB,5.0
75,Nick Chubb (CLE),RB38,64,64,0,93.0,+ 18,RB,5.0
73,Jerome Ford (CLE),RB37,69,69,0,117.0,+ 44,RB,5.0
71,Gus Edwards (LAC),RB36,73,73,0,110.0,+ 39,RB,5.0
65,Ezekiel Elliott (DAL),RB35,80,80,0,106.0,+ 41,RB,5.0
62,Chase Brown (CIN),RB34,87,87,0,112.0,+ 50,RB,5.0
61,Zack Moss (CIN),RB33,88,88,0,90.0,+ 29,RB,5.0
