RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
4,CeeDee Lamb (DAL),WR1,288,168,120,3.0,-1,WR,2.0
6,Tyreek Hill (MIA),WR2,272,160,112,2.0,-4,WR,2.0
15,Amon-Ra St. Brown (DET),WR3,216,132,84,6.0,-9,WR,3.0
16,Ja'Marr Chase (CIN),WR4,216,132,84,7.0,-9,WR,3.0
19,Justin Jefferson (MIN),WR5,206,127,79,8.0,-11,WR,4.0
24,Puka Nacua (LAR),WR6,168,108,60,14.0,-10,WR,4.0
25,A.J. Brown (PHI),WR7,166,107,59,10.0,-15,WR,4.0
30,Garrett Wilson (NYJ),WR8,148,98,50,12.0,-18,WR,4.0
157,Curtis Samuel (BUF),WR51,2,2,0,137.0,-20,WR,5.0
153,Joshua Palmer (LAC),WR50,3,3,0,150.0,-3,WR,5.0
152,Marquise Brown (KC),WR49,3,3,0,103.0,-49,WR,5.0
147,Tyler Lockett (SEA),WR48,6,6,0,136.0,-11,WR,5.0
141,Jerry Jeudy (CLE),WR47,7,7,0,141.0,-,WR,5.0
127,Rome Odunze (CHI),WR43,13,13,0,94.0,-33,WR,5.0
132,Brian Thomas Jr. (JAC),WR45,12,12,0,119.0,-13,WR,5.0
129,Ladd McConkey (LAC),WR44,12,12,0,101.0,-28,WR,5.0
158,Jakobi Meyers (LV),WR52,2,2,0,144.0,-14,WR,5.0
123,Xavier Worthy (KC),WR42,14,14,0,88.0,-35,WR,5.0
122,Courtland Sutton (DEN),WR41,15,15,0,116.0,-6,WR,5.0
133,Christian Watson (GB),WR46,12,12,0,97.0,-36,WR,5.0
163,Jameson Williams (DET),WR53,0,0,0,118.0,-45,WR,5.0
187,Mike Williams (NYJ),WR57,0,0,0,147.0,-40,WR,5.0
169,Adam Thielen (CAR),WR55,0,0,0,156.0,-13,WR,5.0
182,Brandin Cooks (DAL),WR56,0,0,0,160.0,-22,WR,5.0
121,Jordan Addison (MIN),WR40,16,16,0,109.0,-12,WR,5.0
195,Keon Coleman (BUF),WR58,0,0,0,102.0,-93,WR,5.0
202,DeMario Douglas (NE),WR59,0,0,0,189.0,-13,WR,5.0
204,Romeo Doubs (GB),WR60,0,0,0,139.0,-65,WR,5.0
210,Gabe Davis (JAC),WR61,0,0,0,166.0,-44,WR,5.0
232,Rashid Shaheed (NO),WR62,0,0,0,171.0,-61,WR,5.0
237,Darnell Mooney (ATL),WR63,0,0,0,176.0,-61,WR,5.0
240,Ja'Lynn Polk (NE),WR64,0,0,0,183.0,-57,WR,5.0
247,Wan'Dale Robinson (NYG),WR65,0,0,0,245.0,-2,WR,5.0
251,Josh Downs (IND),WR66,0,0,0,224.0,-27,WR,5.0
255,Michael Wilson (ARI),WR67,0,0,0,228.0,-27,WR,5.0
164,Khalil Shakir (BUF),WR54,0,0,0,129.0,-35,WR,5.0
119,DeAndre Hopkins (TEN),WR39,18,18,0,98.0,-21,WR,5.0
104,Keenan Allen (CHI),WR35,36,36,0,76.0,-28,WR,5.0
109,Jayden Reed (GB),WR37,27,27,0,81.0,-28,WR,5.0
38,Chris Olave (NO),WR9,118,83,35,25.0,-13,WR,5.0
44,Marvin Harrison Jr. (ARI),WR10,110,79,31,16.0,-28,WR,5.0
45,Davante Adams (LV),WR11,110,79,31,20.0,-25,WR,5.0
47,Drake London (ATL),WR12,108,78,30,23.0,-24,WR,5.0
51,Nico Collins (HOU),WR13,96,72,24,27.0,-24,WR,5.0
52,Cooper Kupp (LAR),WR14,96,72,24,36.0,-16,WR,5.0
53,Mike Evans (TB),WR15,96,72,24,33.0,-20,WR,5.0
59,DeVonta Smith (PHI),WR16,90,69,21,46.0,-13,WR,5.0
63,Deebo Samuel Sr. (SF),WR17,84,66,18,31.0,-32,WR,5.0
64,Michael Pittman Jr. (IND),WR18,84,66,18,35.0,-29,WR,5.0
66,Jaylen Waddle (MIA),WR19,78,63,15,44.0,-22,WR,5.0
67,DK Metcalf (SEA),WR20,78,63,15,42.0,-25,WR,5.0
68,Brandon Aiyuk (SF),WR21,76,62,14,37.0,-31,WR,5.0
116,Jaxon Smith-Njigba (SEA),WR38,19,19,0,100.0,-16,WR,5.0
69,Stefon Diggs (HOU),WR22,76,62,14,41.0,-28,WR,5.0
76,Malik Nabers (NYG),WR24,64,56,8,50.0,-26,WR,5.0
77,Amari Cooper (CLE),WR25,62,55,7,54.0,-23,WR,5.0
79,Zay Flowers (BAL),WR26,60,54,6,62.0,-17,WR,5.0
