RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
115,Dallas Cowboys (DAL),DST1,20,10,10,124.0,+ 9,DST,
120,Baltimore Ravens (BAL),DST2,16,8,8,125.0,+ 5,DST,
131,New York Jets (NYJ),DST3,12,6,6,126.0,-5,DST,
142,Houston Texans (HOU),DST4,6,3,3,177.0,+ 35,DST,
144,Kansas City Chiefs (KC),DST5,6,3,3,155.0,+ 11,DST,
146,Philadelphia Eagles (PHI),DST6,6,3,3,172.0,+ 26,DST,
148,Pittsburgh Steelers (PIT),DST7,4,2,2,153.0,+ 5,DST,
154,Cleveland Browns (CLE),DST8,2,1,1,128.0,-26,DST,
155,San Francisco 49ers (SF),DST9,2,1,1,111.0,-44,DST,
170,Miami Dolphins (MIA),DST10,0,0,0,161.0,-9,DST,
171,Indianapolis Colts (IND),DST11,0,0,0,216.0,+ 45,DST,
172,Buffalo Bills (BUF),DST12,0,0,0,159.0,-13,DST,
174,Cincinnati Bengals (CIN),DST13,0,0,0,196.0,+ 22,DST,
181,Los Angeles Chargers (LAC),DST14,0,0,0,192.0,+ 11,DST,
185,Jacksonville Jaguars (JAC),DST15,0,0,0,250.0,+ 65,DST,
186,Green Bay Packers (GB),DST16,0,0,0,218.0,+ 32,DST,
188,Washington Commanders (WAS),DST17,0,0,0,235.0,+ 47,DST,
189,New York Giants (NYG),DST18,0,0,0,249.0,+ 60,DST,
190,New Orleans Saints (NO),DST19,0,0,0,187.0,-3,DST,
191,Seattle Seahawks (SEA),DST20,0,0,0,191.0,-,DST,
192,Tampa Bay Buccaneers (TB),DST21,0,0,0,186.0,-6,DST,
193,Las Vegas Raiders (LV),DST22,0,0,0,208.0,+ 15,DST,
198,Minnesota Vikings (MIN),DST23,0,0,0,219.0,+ 21,DST,
199,Denver Broncos (DEN),DST24,0,0,0,222.0,+ 23,DST,
206,Atlanta Falcons (ATL),DST25,0,0,0,203.0,-3,DST,
208,Detroit Lions (DET),DST26,0,0,0,188.0,-20,DST,
213,Chicago Bears (CHI),DST27,0,0,0,181.0,-32,DST,
220,Los Angeles Rams (LAR),DST28,0,0,0,255.0,+ 35,DST,
224,Tennessee Titans (TEN),DST29,0,0,0,251.0,+ 27,DST,
228,Arizona Cardinals (ARI),DST30,0,0,0,276.0,+ 48,DST,
235,New England Patriots (NE),DST31,0,0,0,238.0,+ 3,DST,
241,Carolina Panthers (CAR),DST32,0,0,0,407.0,+ 166,DST,
105,Younghoe Koo (ATL),K1,36,18,18,133.0,+ 28,K,
110,Justin Tucker (BAL),K2,24,12,12,104.0,-6,K,
113,Harrison Butker (KC),K3,20,10,10,113.0,-,K,
114,Brandon Aubrey (DAL),K4,20,10,10,107.0,-7,K,
118,Greg Joseph (GB),K5,18,9,9,323.0,+ 205,K,
126,Jake Elliott (PHI),K6,14,7,7,143.0,+ 17,K,
136,Jason Myers (SEA),K7,10,5,5,184.0,+ 48,K,
145,Ka'imi Fairbairn (HOU),K8,6,3,3,145.0,-,K,
